Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Term Source 2 REF,Term Source 2 Accession,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
HDBR_CALD1_IHC_12PCW,E51_12pcw_136_CALD1.jpg,HuDSeN:880,"Fetus E51, slide 136",Homo sapiens,NCBITaxon,9606,12PCW,Immunohistochemistry,CALD1,NCBITaxon,NM_033138,Sigma C4562,,ENSG00000122786,CALD1,HDBR_CALD1_IHC_12PCW/E51_12pcw_136_CALD1.jpg,Original experimental image,Brightfield,,DAB,"Heart, lung (strong)"
HDBR_CD34_IHC_CS14,3DView.jpg,HuDSeN:366,3D view,Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/3DView.jpg,3D view of data mapped into a CS14 model,,Red = strong expression,,
HDBR_CD34_IHC_CS14,3DView.mpg,HuDSeN:366,3D movie,Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/3DView.mpg,3D movie of data mapped into a CS14 model,,Red = strong expression,,
HDBR_CD34_IHC_CS14,n560_002_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 2, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_002_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_012_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 12, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_012_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_012_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 12, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_012_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_013_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 13, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_013_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_013_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 13, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_013_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_022_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 22, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_022_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_022_3_5x.jpg,HuDSeN:366,"Embryo N560, slide 22, section 3",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_022_3_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_023_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 23, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_023_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_023_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 23, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_023_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_032_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 32, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_032_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_032_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 32, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_032_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_033_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 33, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_033_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_033_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 33, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_033_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_042_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 42, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_042_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_042_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 42, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_042_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_043_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 43, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_043_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_043_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 43, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_043_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_052_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 52, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_052_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_052_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 52, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_052_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_053_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 53, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_053_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_053_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 53, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_053_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_062_2.jpg,HuDSeN:366,"Embryo N560, slide 62, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_062_2.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_062_4.jpg,HuDSeN:366,"Embryo N560, slide 62, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_062_4.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_063_2_5x.jpg,HuDSeN:366,"Embryo N560, slide 63, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_063_2_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,n560_063_4_5x.jpg,HuDSeN:366,"Embryo N560, slide 63, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/n560_063_4_5x.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_072_1.jpg,HuDSeN:366,"Embryo N560, slide 72, section 1",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_072_1.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_072_2.jpg,HuDSeN:366,"Embryo N560, slide 72, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_072_2.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_072_3.jpg,HuDSeN:366,"Embryo N560, slide 72, section 3",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_072_3.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_072_4.jpg,HuDSeN:366,"Embryo N560, slide 72, section 4",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_072_4.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_073_1.jpg,HuDSeN:366,"Embryo N560, slide 73, section 1",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_073_1.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
HDBR_CD34_IHC_CS14,N560_073_2.jpg,HuDSeN:366,"Embryo N560, slide 73, section 2",Homo sapiens,NCBITaxon,9606,CS14,Immunohistochemistry,CD34,NCBITaxon,NM_001773,Novocastra NCL_END,,ENSG00000174059,CD34,HDBR_CD34_IHC_CS14/N560_073_2.jpg,Original experimental image,Brightfield,,DAB,Blood vessels (strong)
